name,rank,lineage
Ruminococcus sp. AM41-10BH,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Ruminococcus__1263;s__Ruminococcus sp. AM41-10BH__2293213
Rhodococcus sp. KBW08,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Nocardiaceae__85025;g__Rhodococcus__1827;s__Rhodococcus sp. KBW08__2144188
Citrobacter sp. MGH106,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Citrobacter__544;s__Citrobacter sp. MGH106__1686381
Lactobacillus kimbladii,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Lactobacillus__1578;s__Lactobacillus kimbladii__1218506
Lactobacillus sp. DS22_6,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Lactobacillus__1578;s__Lactobacillus sp. DS22_6__2153227
Ruminococcus sp. AM27-16,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Ruminococcus__1263;s__Ruminococcus sp. AM27-16__2293192
Phytobacter ursingii,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Phytobacter__447792;s__Phytobacter ursingii__1972431
Enterococcus sp. 5B3_DIV0040,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus sp. 5B3_DIV0040__1834182
Staphylococcus borealis,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Staphylococcaceae__90964;g__Staphylococcus__1279;s__Staphylococcus borealis__2742203
Ruminococcus sp. AF37-6AT,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Ruminococcus__1263;s__Ruminococcus sp. AF37-6AT__2292068
Collinsella sp. TM09-10AT,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Collinsella__102106;s__Collinsella sp. TM09-10AT__2292343
Enterococcus sp. 3H8_DIV0648,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus sp. 3H8_DIV0648__1834178
Kocuria sp. BT304,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Kocuria__57493;s__Kocuria sp. BT304__1702043
Oscillibacter ruminantium,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Oscillibacter__459786;s__Oscillibacter ruminantium__1263547
Enterococcus sp. 1140_ESPC,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus sp. 1140_ESPC__1579349
Enterobacter sp. RJAL6,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Enterobacterales__91347;f__Enterobacteriaceae__543;g__Enterobacter__547;s__Enterobacter sp. RJAL6__2652157
Enterococcus sp. 255_ESPC,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Enterococcaceae__81852;g__Enterococcus__1350;s__Enterococcus sp. 255_ESPC__1579344
Olegusella massiliensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Coriobacteriia__84998;o__Coriobacteriales__84999;f__Coriobacteriaceae__84107;g__Olegusella__1979843;s__Olegusella massiliensis__1776381
